cos_sim,cos_wm_sim,alignment,length_ratio,distances,fuzzy_ratio,fuzzy_partial_ratio,fuzzy_token_sort,fuzzy_token_set,Score
0.5909168633473395,0.37831659615637137,0.09523809523809523,2.5,12.104,0.38,0.47,0.38,0.41,3.5
0.655974956633036,0.41276349489026387,0.36363636363636365,2.667,13.298,0.46,0.69,0.5,0.77,5.0
0.8512156128754629,0.508465970920433,0.8,1.5,6.991,0.81,0.98,0.81,0.81,4.0
0.7490273745010463,0.45825578807017997,0.47619047619047616,2.5,12.539,0.55,0.96,0.5,0.77,5.0
0.6429054342557525,0.4043108816105779,0.08333333333333333,3.0,16.414,0.35,0.49,0.32,0.37,3.0
0.30089685070883826,0.23330658983712077,0.0,0.5,8.902,0.34,0.45,0.31,0.31,2.0
0.4058242990406608,0.28577031400303204,0.0,1.667,11.865,0.38,0.43,0.41,0.42,2.5
0.5456364661654091,0.3588202328838685,0.3333333333333333,1.0,7.983,0.38,0.41,0.56,0.56,5.0
0.41158736742528457,0.2886518481953439,0.0,2.167,15.498,0.33,0.47,0.34,0.37,3.5
0.9209620515174248,0.5423127412781873,1.0,1.0,3.573,0.95,0.94,0.95,0.95,5.0
0.8399260940284863,0.5026951620613729,0.8333333333333334,1.0,5.121,0.97,0.97,0.82,0.97,5.0
0.9148579010849519,0.539328489955645,1.0,1.0,3.83,0.98,0.98,0.98,0.98,5.0
0.33686412089639234,0.25129022493089775,0.0,1.0,9.46,0.44,0.42,0.39,0.39,2.0
0.5656290695304688,0.365672699247936,0.5,0.333,7.325,0.41,0.77,0.38,0.76,4.5
0.4071276022143925,0.28642196558989785,0.0,1.0,10.154,0.42,0.42,0.44,0.44,2.0
0.5602340176387228,0.362975173302063,0.19047619047619047,2.5,13.636,0.37,0.47,0.34,0.4,4.5
0.9148579010849519,0.539328489955645,1.0,1.0,3.83,0.98,0.98,0.98,0.98,5.0
0.5401700559177637,0.35294319244158345,0.0,1.667,10.611,0.34,0.41,0.37,0.37,2.0
0.34703185124634095,0.25637409010587214,0.0,1.0,9.688,0.42,0.44,0.42,0.42,2.0
0.4884630370959289,0.3270896830306661,0.0,3.0,17.975,0.31,0.41,0.33,0.35,2.5
0.9148579010849519,0.539328489955645,1.0,1.0,3.83,0.98,0.98,0.98,0.98,5.0
0.9148579010849519,0.539328489955645,1.0,1.0,3.83,0.98,0.98,0.98,0.98,5.0
0.37481194584874566,0.27026413740707445,0.0,0.5,8.482,0.29,0.41,0.29,0.29,1.5
0.2915679170393594,0.22864212300238132,0.0,0.5,10.878,0.38,0.4,0.34,0.32,2.5
0.9148579010849519,0.539328489955645,1.0,1.0,3.83,0.98,0.98,0.98,0.98,5.0
0.4188720428713763,0.2922941859183898,0.0,1.333,10.175,0.38,0.4,0.38,0.38,2.0
0.48407810780324095,0.3248972183843221,0.25,1.667,10.171,0.41,0.42,0.53,0.55,3.0
0.3397278792235937,0.25272210409449847,0.18181818181818182,0.833,8.747,0.41,0.45,0.39,0.39,3.0
0.5595432317019177,0.36262978033366045,0.0,5.0,26.583,0.23,0.43,0.23,0.25,2.5
0.6108507337459104,0.359843743838146,0.17142857142857143,2.889,22.531,0.34,0.45,0.35,0.38,3.5
0.6679102838444619,0.3881538365571542,0.23076923076923078,0.444,12.475,0.43,0.47,0.4,0.51,4.0
0.5410434479975644,0.324736397039531,0.2857142857142857,0.556,13.916,0.47,0.53,0.55,0.64,4.5
0.6840153657960331,0.3967795888672068,0.17857142857142858,2.111,25.919,0.34,0.48,0.37,0.37,3.0
0.47455070201126465,0.2915983344581227,0.15384615384615385,0.444,14.567,0.42,0.5,0.4,0.51,3.0
0.4451579306934776,0.2769624925743852,0.0,0.444,14.793,0.39,0.43,0.36,0.42,2.0
0.40091927078322337,0.2548139945492722,0.0,0.333,15.11,0.38,0.48,0.36,0.43,3.5
0.4369577132572815,0.27284379864190833,0.18181818181818182,0.222,15.051,0.31,0.59,0.31,0.64,4.0
0.3402637985729203,0.22486639147282883,0.0,0.222,15.511,0.28,0.41,0.26,0.31,2.0
0.4789750484908966,0.2971633925447236,0.18181818181818182,0.222,14.783,0.26,0.6,0.32,0.57,5.0
0.6981673942823159,0.40375764523605157,0.2,0.667,11.929,0.46,0.48,0.46,0.49,2.5
0.5400776925862012,0.3242936017724399,0.0,0.444,13.879,0.43,0.54,0.42,0.41,3.5
0.40850922563061776,0.2586841089158518,0.0,0.333,15.01,0.35,0.4,0.35,0.42,2.0
0.3466786085156439,0.22817581355996755,0.0,0.111,15.681,0.16,0.5,0.18,0.23,3.0
0.4937508672600191,0.30132329749517534,0.11764705882352941,0.889,14.648,0.43,0.46,0.4,0.52,1.5
0.6738937097938825,0.3849938691153619,0.25,1.222,15.155,0.48,0.51,0.45,0.49,5.0
0.40401793517073875,0.2565653129077277,0.0,0.333,15.043,0.38,0.48,0.36,0.43,3.5
0.4392742364070237,0.27400463806808306,0.0,1.444,16.458,0.36,0.39,0.4,0.39,1.5
0.4073202015122762,0.2583401820383657,0.0,0.333,14.918,0.35,0.4,0.35,0.42,2.5
0.5230831026420009,0.31570099365849447,0.08695652173913043,1.556,15.866,0.42,0.46,0.44,0.44,1.5
0.4008684234002974,0.2545370679964879,0.0,0.333,15.019,0.38,0.48,0.36,0.43,3.0
0.47973068294613574,0.29768119542516114,0.18181818181818182,0.222,14.745,0.3,0.6,0.32,0.57,5.0
0.4023838006567231,0.25550773648266134,0.0,0.333,15.038,0.38,0.48,0.36,0.43,3.5
0.3791222523800136,0.24392443078444878,0.0,0.778,17.816,0.37,0.39,0.31,0.33,1.0
