number,Questions,Answers,Texts,Score
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,high risk problem address make sure feasible may also used show company software possibly programmed,3.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulate portion desired final product quick easy small specific job way help see may solve final project,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product allow error checking,4.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,defined specification phase stimulates behavior portion desired software product meaning temporary solution refined used extensively,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,used let user first idea completed allow client evaluate generate much feedback including software specification project estimation total project,3.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,find error finalized,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,address major issue creation way account possible bug possible prove tangible,2.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,break whole program simulate part final,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,provide example model finished performed provides foresight challenges would encountered provides opportunity introduce change finished,3.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulating behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,stimulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,lay basic give starting point actual,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulate part,4.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,provides basic groundwork enhance improve solution,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,part specification phase software solving employed illustrate key problem solved sometimes serf base expand upon,4.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,provides limited proof concept verify client actually programming whole application,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,test main function leaving finer detail,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,get early feedback user early stage development show user first idea look like make sure meet requirement intense programming begin,2.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,used collect data,1.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,ease understanding discussion ease understanding,2.5
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,simulates behavior portion desired software product,5.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,help spot key problem may arise actual programing,2.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,give general idea end product without time effort write entire,3.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,show certain part work supposed,3.0
1.1,What is the role of a prototype program in problem solving?,simulate behaviour portion desired software product,programming approach programming enables one take organized approach developing effective minimal error strategic pattern e book gave example costumer withdrawing money bank approach taking pseudo code level ooa design lvl proceeding creating solution,2.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 7,refining possibly design phase reveals problem design production affected program unworkable current form lead later production time originally estimated also affect coding may need rewrite code program remove error,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 8,implementation phase maintenance phase effected,4.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 9,verification coding refining solution maintenance,4.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 10,rup elaboration phase refined project vision iterative development core system development system requirement accurate time cost estimate construction phase iterative development remaining system transition phase deployment system,3.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 11,refining solution production maintenance,3.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 12,elaboration construction transition affected,2.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 13,refining production maintenance,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 14,refining solution,4.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 15,verification debugging,2.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 16,refining coding,5.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 17,second half elaboration phase construction phase transition phase,2.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 18,refining step production step maintenance,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 19,elaboration construction transition,2.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 20,refining,3.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 21,direct influence final version program debugging finalization revision,1.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 22,directly refining coding refining right phase coding right phase indirectly production maintenance refining occurs last two,5.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 23,refining production maintenance,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 24,depending work done spread throughout process prevent error showing later due lack foresight,1.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 25,elaboration construction transition,2.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 26,except setting program requirement test fails change whole design implementation etc program well final outcome,1.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 27,refining production maintenance,3.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 28,coding refining,5.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 29,refining production maintenance,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 30,removing logical error valid data random data actual data,1.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 31,1 specification 2 design 3 risk analysis 4 verification 5 coding 6 7 refining 8 production 9 maintenance,2.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 32,refining production maintenance,3.5
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 33,could affect part could make go back specification test well,2.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 34,coding,3.0
1.2,What stages in the software life cycle are influenced by the testing stage?,testing stage influence coding stage phase 5 solution refinement stage phase 35,individual component step analysis design implementing code well entire system tested execution requirement identified analysis e main output,1.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,modular ability ability reuse part program later another program sometimes completely different goal program also make easier debug code dividing code class specific job program fails one job one class debug good security purpose allows let someone use program sort list without give access source code also allows use inheritance polymorphism,4.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,type flexible making easier add modify program also type fail safe program check individual module eliminates redundant code make program easier read programmer debugging program easier track source problem within module rather 2 million line program,5.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,oop allows u build class object three principle make oop encapsulation object combine data operation inheritance class inherit property class polymorphism object determine appropriate operation execution time,2.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier accomplish,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,allows programmer use class changed manipulated affecting entire class hold attribute affect,1.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,reusable component extensibility maintainability reduces large problem smaller manageable problem,4.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,encapsulation object combine data operation inheritance class inherit property class polymorphism object determine appropriate operation execution time,2.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,easier debug reusability,3.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,usability ease maintenance,4.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,one hide inner detail technique known encapsulation object combine data operation cannot see work another advantage reuse class defined earlier program method known inheritance finally another advantage object determine appropriate operation execution time technique known polymorphism,5.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,existing class reused program maintenance verification easier,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,using different module allows easier debugging,2.0
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,data encapsulation concept use function method manipulate data,3.5
1.3,What are the main advantages associated with object-oriented programming?,abstraction reusability,modular reusable code allowing faster deployment solution general view solution,4.5
